"id","title","year","search_query","description"
"42","Saving Private Ryan","1998","Saving Private Ryan 1998 Captain Miller shot dying tank approaches","A wounded soldier in military fatigues with blood on his uniform is being attended to by fellow servicemen in what appears to be a combat zone. The injured soldier is engaged in conversation with another soldier while additional troops stand nearby in the background, with destroyed buildings visible behind them. This appears to be a scene depicting World War II soldiers during active combat operations in a European theater."
"43","Apocalypse Now","1979","Apocalypse Now 1979 helicopter attack Vietnamese village Wagner music","A military helicopter flies over a war-torn landscape filled with explosions, fire, and destruction, while musical notation overlays the entire scene. The composition captures the intense contrast between the chaos of combat-with helicopters, flames, and smoke billowing across the terrain-and the delicate, orderly beauty of classical sheet music floating above. This surreal juxtaposition creates a haunting visualization of how music and warfare intersect, transforming violence into an almost orchestrated performance."
"44","Platoon","1986","Platoon 1986 Sergeant Elias shot falling knees arms raised jungle","A person covered in mud celebrates with both arms raised triumphantly in the air, their face and body caked with muddy residue. The individual appears to be participating in a challenging obstacle course or mud-based athletic competition, displaying a moment of accomplishment and joy. The background shows a hazy, misty atmosphere with green tones, suggesting an outdoor event environment."
"45","Full Metal Jacket","1987","Full Metal Jacket 1987 Joker shot at hidden female sniper ruined building","A group of soldiers in World War II-era uniforms stands along the banks of a trench or canal filled with water, observing and surveying the terrain. Military personnel in combat gear are positioned around the excavated waterway while what appears to be officers or commanders examine the area, likely during a training exercise or military inspection. The scene captures a moment of military coordination and strategic planning in a muddy, water-logged battlefield setting with sparse vegetation visible in the background."
"46","Black Hawk Down","2001","Black Hawk Down 2001 soldiers trapped crashed helicopter surrounded militia","A group of soldiers in military uniforms and helmets gather around a damaged military vehicle in a muddy, war-torn environment. They appear to be examining or inspecting the wreckage, with some crouching down to get a closer look at the debris. The scene depicts the harsh realities of combat, with destruction and devastation visible in the surrounding area."
"47","Hacksaw Ridge","2016","Hacksaw Ridge 2016 Desmond Doss lowering wounded soldiers cliff under fire","# Description During the Battle of Okinawa in May 1945, a U.S. Army medic named Desmond Doss risked his life to save wounded soldiers on a steep cliff face by lowering them down with a rope while under intense enemy fire. Despite being a conscientious objector who refused to carry a weapon, Doss demonstrated extraordinary courage and compassion by repeatedly exposing himself to danger to rescue his fellow soldiers. His selfless actions earned him the Medal of Honor and made him a celebrated figure in military history for his commitment to saving lives rather than taking them."
"48","Dunkirk","2017","Dunkirk 2017 soldiers trapped sinking beached boat tide rises","A group of silhouetted figures stand together against a light sky background, appearing to be positioned on elevated terrain. The dark outlines of the individuals create a striking contrast against the pale backdrop, suggesting they may be surveying a landscape or gathered for a significant moment. The composition conveys a sense of unity or collective purpose among the assembled group."
"49","Dunkirk","2017","Dunkirk 2017 Spitfire pilot gliding no fuel over Channel beach","A figure in dark clothing stands on a beach, silhouetted against the dramatic orange and yellow flames of a burning aircraft wreckage in the water. The scene captures a moment of devastation and destruction, with thick smoke rising from the burning plane as waves lap against the shore. The composition suggests a cinematic moment of high stakes and peril, with the lone observer witnessing the catastrophic scene unfold before them."
"50","1917","2019","1917 2019 Schofield falls pit corpses sinking mud no man's land","A seal or sea lion rests on the rocky shoreline near the water's edge, surrounded by moss-covered stones and boulders. The marine mammal appears to be lounging peacefully on the rocks, with calm water visible in the background. The scene captures a natural coastal habitat where the creature blends in with its rocky environment."
"51","The Revenant","2015","The Revenant 2015 Leonardo DiCaprio mauled grizzly bear forest","A man lies on the ground in a tense confrontation with a massive bear looming over him. The scene captures a desperate moment of struggle as the man appears to be defending himself against the dangerous predator in a forested setting. This appears to be from the film ""The Revenant,"" depicting the famous bear attack scene involving the character Hugh Glass."
"52","The Revenant","2015","The Revenant 2015 DiCaprio crawls inside horse carcass survive blizzard","I can see a dark, blurred image with minimal visible detail. The image appears to be mostly black with some subtle gradients of dark blue, purple, and gray tones throughout, creating an atmospheric but largely obscured composition. Without clear focal points or distinguishable elements, the image suggests a nighttime or dimly lit scene, though specific details remain indiscernible."
"53","Cast Away","2000","Cast Away 2000 Tom Hanks swept raft massive ocean wave storm","A bearded man with a disheveled appearance clings to what appears to be wreckage or debris in turbulent water, his face showing signs of desperation and survival struggle. The scene captures an intense moment of maritime peril, with the man's muscular frame and wild expression conveying the physical and emotional toll of being stranded. The overcast sky and choppy water in the background emphasize the dangerous, isolated circumstances he finds himself in."
"54","Cast Away","2000","Cast Away 2000 Tom Hanks drifts alone tiny raft middle Pacific","A rugged castaway man with a thick beard and weathered appearance struggles for survival on a remote island, shown in various scenes of hardship and desperation. The collage depicts his journey of isolation, featuring moments of him scavenging for resources, building shelter, and enduring the harsh conditions of being stranded alone in nature. His disheveled appearance and the primitive survival techniques shown emphasize the physical and mental toll of prolonged solitude on an uninhabited island."
"55","The Perfect Storm","2000","The Perfect Storm 2000 fishing boat climbs vertical wall water hurricane","A small boat is engulfed by a massive, towering wave in the middle of a turbulent ocean. The vessel appears to be struggling against the overwhelming power of nature as water crashes around it. This appears to be a dramatic scene depicting a desperate maritime disaster or survival situation in extremely treacherous conditions."
"56","Twister","1996","Twister 1996 Bill Paxton Helen Hunt strapped pipes F5 tornado passes over","A man and woman are shown in an intense, dramatic moment, both gripping what appears to be a weapon or tool together. The woman has voluminous blonde hair and an expression of determination or fear, while the man behind her displays a wide grin despite the tense situation. The warm, vintage-quality lighting and their clothing suggest this is from a classic film, capturing a pivotal action sequence where the two characters are united in a dangerous confrontation."
"57","Twister","1996","Twister 1996 tornado destroys drive-in movie theater","A man in a dark suit is suspended in mid-air above a swirling blue vortex or whirlpool, appearing to be falling or being pulled into the chaotic water below. The dramatic lighting and composition suggest a moment of danger or crisis, with the character seemingly helpless against the powerful force. The blue tones and turbulent water create an atmosphere of intense peril and desperation."
"58","The Day After Tomorrow","2004","The Day After Tomorrow 2004 Jake Gyllenhaal runs freezing cold wave engulfing New York","A catastrophic ice age has engulfed Earth, transforming the planet into a frozen wasteland where the last remnants of humanity struggle to survive. The film follows survivors aboard a massive, perpetually moving train called the Snowpiercer, where a rigid class system divides passengers between the luxurious front cars and the impoverished tail section, leading to an uprising against the oppressive social hierarchy. As the train races through the frozen landscape, the protagonist leads a desperate revolt to navigate through the cars and uncover the truth about their world and the possibility of salvation."
"59","Dante's Peak","1997","Dante's Peak 1997 grandma walks into acid lake push boat to safety","An older man with white hair wearing a red jacket and blue shirt stands in a snowy, icy environment with his arm outstretched. The scene appears to be from a dramatic moment, with cold, blue-tinted lighting and snow or ice visible in the background. The character's expression and body language suggest he is in the midst of an intense or emotional scene, possibly from an action or adventure film."
"60","Volcano","1997","Volcano 1997 Tommy Lee Jones lava flowing down Wilshire Boulevard","A massive figure engulfed in intense flames stands towering over a smaller character, creating a dramatic and terrifying scene of confrontation. The massive burning entity appears to be a powerful, monstrous being surrounded by roaring fire and smoke, while the smaller figure stands before it, seemingly facing down this apocalyptic threat. The scene is filled with orange and golden flames that illuminate the dark surroundings, creating an atmosphere of danger and supernatural horror."
"61","The Poseidon Adventure","1972","Poseidon Adventure 1972 passengers climb overturned ballroom Christmas tree ship floods","In this iconic scene from ""Gremlins,"" a large group of mischievous creatures wreak havoc in a movie theater during a Christmas screening, with their chaotic shadows and silhouettes visible against the bright projection light. The gremlins are causing mayhem among the frightened audience members who are trying to escape the theater in panic. The festive setting, marked by holiday decorations visible in the background, contrasts sharply with the horror and destruction unfolding as the creatures run amok throughout the venue."
"62","The Towering Inferno","1974","The Towering Inferno 1974 Steve McQueen rescues victims burning skyscraper window","# Movie Poster Description The poster depicts an intense disaster film featuring two men in the center flanked by dramatic scenes of a massive fire engulfing a high-rise building. The composition shows various characters' faces arranged at the bottom, suggesting an ensemble cast caught in a catastrophic emergency. The imagery emphasizes the scale of destruction with towering flames consuming the structure, while the men's expressions convey urgency and determination in the face of this life-threatening crisis."
"63","Backdraft","1991","Backdraft 1991 Kurt Russell trapped burning warehouse fire breathes back in","A firefighter stands silhouetted against a massive inferno, facing an enormous burning building engulfed in flames. The intense fire creates a dramatic backdrop as the protagonist appears to be confronting the dangerous blaze, highlighting the peril and courage required in firefighting. The scene captures a critical moment of heroism amid catastrophic destruction and chaos."
"64","Ladder 49","2004","Ladder 49 2004 Joaquin Phoenix firefighter trapped collapsing burning upper floor","Two firefighters in full gear and helmets are featured in this dramatic scene from the film Ladder 49. The image shows intense close-up portraits of the characters set against a backdrop of flames and fire, capturing the dangerous and heroic nature of their profession. The composition emphasizes the courage and determination required of firefighters as they face life-threatening situations in their line of duty."
"65","The Impossible","2012","The Impossible 2012 Naomi Watts swept away Indian Ocean tsunami wave","A man clutches a young boy tightly in his arms in a desperate embrace, both appearing distressed and vulnerable. The scene is set outdoors with a natural, earthy landscape visible in the background. The emotional intensity of the moment suggests a story centered on survival, loss, or profound human connection during a crisis."
"66","San Andreas","2015","San Andreas 2015 daughter clings collapsed skyscraper San Francisco earthquake","A figure in dark clothing stands in front of a massive explosion engulfing a city skyline, with smoke and debris billowing across urban buildings. The scene captures a moment of intense destruction and chaos unfolding in what appears to be a major metropolitan area. This appears to be from an action film depicting a catastrophic event or attack on a city."
"67","2012","2009","2012 2009 John Cusack drives limo through collapsing Los Angeles streets earthquake","A military convoy of vehicles is moving down a dusty road through a sparse, arid landscape with scattered trees and vegetation. Soldiers can be seen positioned on and around the vehicles as they travel in formation across what appears to be a combat or patrol operation in a desert environment. The scene captures the movement and coordination of a tactical military unit during what seems to be an active mission or engagement."
"68","World War Z","2013","World War Z 2013 Brad Pitt rooftop zombie wave climbing wall","A massive cloud of dust and debris engulfs the streets as buildings collapse in a catastrophic explosion, with the towering wall of destruction consuming everything in its path. People scatter and flee in panic as the overwhelming force of the blast sweeps through the urban landscape, creating an apocalyptic scene of devastation. This appears to be from the climactic battle sequence where an enormous destructive force obliterates the city in its wake."
"69","28 Days Later","2002","28 Days Later 2002 Cillian Murphy cornered infected dark tunnel London","A man with dark hair wearing a green shirt stands in front of a backdrop featuring iconic London landmarks including Big Ben and the Houses of Parliament. He appears to be posing for a photograph, turning slightly toward the camera with a casual expression. The scene suggests this may be from a film or television production featuring London as a setting."
"70","I Am Legend","2007","I Am Legend 2007 Will Smith trapped dark building surrounded Darkseekers","A man speaks intensely into a microphone while holding what appears to be a rifle, with urban buildings visible in the background. He wears dark clothing and has a serious, focused expression on his face. The scene appears to be from an action film, with professional lighting and cinematography typical of a movie production."
"71","Annihilation","2018","Annihilation 2018 Natalie Portman held down mutant bear creature abandoned building","A man with a serious expression stands in dim lighting while a grotesque skull or demonic face looms menacingly behind him on the left side of the frame. The atmosphere is dark and ominous, with yellow-green lighting casting an eerie glow across the scene. This appears to be a tense moment where the character is confronted by or aware of a supernatural or monstrous presence."
"72","A Quiet Place","2018","A Quiet Place 2018 Emily Blunt gives birth silently bathtub creature in house","A woman with blonde hair sits in what appears to be a bathtub, wearing a green patterned dress and cardigan, with an expression of shock or surprise on her face. She's positioned in a bathroom setting with tiled walls visible in the background. The scene captures a moment of dramatic reaction, likely from a comedic or intense scene in the narrative."
"73","No Country for Old Men","2007","No Country for Old Men 2007 Josh Brolin hides under water riverbank Chigurh henchmen","A man with a distinctive mustache stands in an outdoor wilderness setting near a river, wearing a tan or khaki-colored shirt. He is holding a revolver in his hand and pointing it toward the camera with a serious, intense expression. The background shows lush green vegetation and mountains, suggesting a remote or rural location during what appears to be daytime."
"74","The Thing","1982","The Thing 1982 MacReady defibrillates Norris chest opens bites hands","I can see this is a very blurry image that makes it difficult to discern specific details or identify characters with certainty. The image appears to show figures in what looks like an indoor setting with warm, muted lighting, but the lack of focus prevents me from accurately describing the specific actions or scene taking place. Without clearer visual information, I cannot provide a reliable description of the content or identify any particular movie scene or characters."
"75","It","2017","It 2017 children face Pennywise flooded sewer lair beneath Derry","A diver explores an underwater wreck or structure covered in algae and marine growth, swimming through the murky turquoise waters. The diver is examining the deteriorated surface of what appears to be an old shipwreck or submerged structure, with debris and sediment visible in the water around them. The atmospheric lighting and conditions suggest this is a deep-water exploration or documentation of a historical maritime site."
"76","Get Out","2017","Get Out 2017 Chris tied chair hypnosis film sunken place","A man sits alone in an interrogation room, restrained and seated at a metal table across from an empty chair. The austere setting features dark wooden walls and a clinical atmosphere typical of a police or detention facility. His posture and the isolation of the space suggest he is under questioning or custody, waiting for an interrogator to arrive."
"77","Us","2019","Us 2019 family cornered lake house doppelgangers night","A group of Buddhist monks in deep red and burgundy robes walk together along a tree-lined path at night, their figures silhouetted against the darkness. The monks move in a procession through what appears to be a temple grounds or spiritual sanctuary, surrounded by tall trees that create a serene and contemplative atmosphere. The scene captures a moment of quiet spiritual practice or ritual, with the monks' traditional robes and deliberate pace conveying a sense of devotion and tranquility."
"78","Bird Box","2018","Bird Box 2018 Sandra Bullock steers boat blindfolded river rapids","A person wearing a brown puffy jacket and a dark headband stands at the helm of a boat, appearing to navigate through misty, overcast conditions. The scene captures a moment of tension or determination as the character surveys the foggy seascape ahead, with water visible in the background. Two other individuals can be partially seen on either side of the frame, suggesting this is a group journey across dangerous or challenging waters."
